LCC_PHASE,WBS_ID,R2,INTERCEPT,WEIGHT,WEIGHT-P,WHEELBASE,WHEELBASE-P,ENGINE_POWER,ENGINE_POWER_P,WPN_CALIBER,WPN_CALIBER_P,CREW_CAPACITY,CREW_CAPACITY_P,TRACK_TIRE,TRACK_TIRE_P
RESEARCH & DEVELOPMENT,WBS_VEHILCE_ASSEMBLED,0.0781,27905.9554,,,,,154.1194,0.0988,,,,,,
RESEARCH & DEVELOPMENT,WBS_HULL_FRAME,0.1318,27915.2634,,,,,,,871.1196,0.032,,,,
RESEARCH & DEVELOPMENT,WBS_TURRET_ASSEMBLY,0.5871,-8731.5366,,,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_SUSPENSION,0.0704,202467.2999,,,,,,,,,-56950.5539,0.1234,,
RESEARCH & DEVELOPMENT,WBS_VEHICLE,0.1176,-601248.4591,,,,,2769.3843,0.0377,,,,,,
RESEARCH & DEVELOPMENT,WBS_POWER_PACKAGE_TRAIN,0.0406,62437.2414,1.2228,0.2385,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_AUXILIARY_AUTOMOTIVE,0.2816,15460.538,,,,,28.8149,0.0012,,,,,,
RESEARCH & DEVELOPMENT,WBS_FIRE_CONTROL,0.1466,-1018372.308,,,,,2262.5095,0.0443,,,,,,
RESEARCH & DEVELOPMENT,WBS_ARMAMENT,0.1171,-179687.7898,,,,,476.5917,0.0475,,,,,,
RESEARCH & DEVELOPMENT,WBS_AUTOMATIC_AMMO_HANDLING,0.0273,1346.0342,0.0949,0.5561,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_NAVIGATION,0.516,-901.8741,0.0383,0,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_SPECIAL_EQUIP,0.0912,146011.9209,-2.5063,0.1256,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_COMMUNICATIONS,0.372,-7167.7195,0.5814,0.0006,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_SYSTEM_TEST_EVAL,0.5165,320.5473,,,,,,,401.2941,0.0008,,,,
RESEARCH & DEVELOPMENT,WBS_TRAINING,0.401,-105108.0796,4.8968,0.0063,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_DATA,0.5248,-2580.0466,,,,,,,219.0968,0.0001,,,,
RESEARCH & DEVELOPMENT,WBS_COMMON_SUPPORT_EQUIP,0.0555,2311.2147,0.053,0.3977,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_OPERATIONAL_SITE_ACTIVATION,0.3308,-7953.6127,0.6206,0.6206,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_INDUSTRIAL_FACILIITIES,0.775,-1136.0246,0.0501,0,,,,,,,,,,
RESEARCH & DEVELOPMENT,WBS_INITIAL_SPARES_REPAIR_PARTS,0.0736,-624241.8564,83.2706,0.2921,,,,,,,,,,
PROCUREMENT,WBS_VEHILCE_ASSEMBLED,0.0781,27905.9554,,,,,154.1194,0.0988,,,,,,
PROCUREMENT,WBS_HULL_FRAME,0.1318,27915.2634,,,,,,,871.1196,0.032,,,,
PROCUREMENT,WBS_TURRET_ASSEMBLY,0.5871,-8731.5366,,,,,,,,,,,,
PROCUREMENT,WBS_SUSPENSION,0.0704,202467.2999,,,,,,,,,-56950.5539,0.1234,,
PROCUREMENT,WBS_VEHICLE,0.1176,-601248.4591,,,,,2769.3843,0.0377,,,,,,
PROCUREMENT,WBS_POWER_PACKAGE_TRAIN,0.0406,62437.2414,1.2228,0.2385,,,,,,,,,,
PROCUREMENT,WBS_AUXILIARY_AUTOMOTIVE,0.2816,15460.538,,,,,28.8149,0.0012,,,,,,
PROCUREMENT,WBS_FIRE_CONTROL,0.1466,-1018372.308,,,,,2262.5095,0.0443,,,,,,
PROCUREMENT,WBS_ARMAMENT,0.1171,-179687.7898,,,,,476.5917,0.0475,,,,,,
PROCUREMENT,WBS_AUTOMATIC_AMMO_HANDLING,0.0273,1346.0342,0.0949,0.5561,,,,,,,,,,
PROCUREMENT,WBS_NAVIGATION,0.516,-901.8741,0.0383,0,,,,,,,,,,
PROCUREMENT,WBS_SPECIAL_EQUIP,0.0912,146011.9209,-2.5063,0.1256,,,,,,,,,,
PROCUREMENT,WBS_COMMUNICATIONS,0.372,-7167.7195,0.5814,0.0006,,,,,,,,,,
PROCUREMENT,WBS_SYSTEM_TEST_EVAL,0.5165,320.5473,,,,,,,401.2941,0.0008,,,,
PROCUREMENT,WBS_TRAINING,0.401,-105108.0796,4.8968,0.0063,,,,,,,,,,
PROCUREMENT,WBS_DATA,0.5248,-2580.0466,,,,,,,219.0968,0.0001,,,,
PROCUREMENT,WBS_COMMON_SUPPORT_EQUIP,0.0555,2311.2147,0.053,0.3977,,,,,,,,,,
PROCUREMENT,WBS_OPERATIONAL_SITE_ACTIVATION,0.3308,-7953.6127,0.6206,0.6206,,,,,,,,,,
PROCUREMENT,WBS_INDUSTRIAL_FACILIITIES,0.775,-1136.0246,0.0501,0,,,,,,,,,,
PROCUREMENT,WBS_INITIAL_SPARES_REPAIR_PARTS,0.0736,-624241.8564,83.2706,0.2921,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_VEHILCE_ASSEMBLED,0.0781,27905.9554,,,,,154.1194,0.0988,,,,,,
OPERATIONS & MAINTENANCE,WBS_HULL_FRAME,0.1318,27915.2634,,,,,,,871.1196,0.032,,,,
OPERATIONS & MAINTENANCE,WBS_TURRET_ASSEMBLY,0.5871,-8731.5366,,,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_SUSPENSION,0.0704,202467.2999,,,,,,,,,-56950.5539,0.1234,,
OPERATIONS & MAINTENANCE,WBS_VEHICLE,0.1176,-601248.4591,,,,,2769.3843,0.0377,,,,,,
OPERATIONS & MAINTENANCE,WBS_POWER_PACKAGE_TRAIN,0.0406,62437.2414,1.2228,0.2385,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_AUXILIARY_AUTOMOTIVE,0.2816,15460.538,,,,,28.8149,0.0012,,,,,,
OPERATIONS & MAINTENANCE,WBS_FIRE_CONTROL,0.1466,-1018372.308,,,,,2262.5095,0.0443,,,,,,
OPERATIONS & MAINTENANCE,WBS_ARMAMENT,0.1171,-179687.7898,,,,,476.5917,0.0475,,,,,,
OPERATIONS & MAINTENANCE,WBS_AUTOMATIC_AMMO_HANDLING,0.0273,1346.0342,0.0949,0.5561,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_NAVIGATION,0.516,-901.8741,0.0383,0,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_SPECIAL_EQUIP,0.0912,146011.9209,-2.5063,0.1256,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_COMMUNICATIONS,0.372,-7167.7195,0.5814,0.0006,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_SYSTEM_TEST_EVAL,0.5165,320.5473,,,,,,,401.2941,0.0008,,,,
OPERATIONS & MAINTENANCE,WBS_TRAINING,0.401,-105108.0796,4.8968,0.0063,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_DATA,0.5248,-2580.0466,,,,,,,219.0968,0.0001,,,,
OPERATIONS & MAINTENANCE,WBS_COMMON_SUPPORT_EQUIP,0.0555,2311.2147,0.053,0.3977,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_OPERATIONAL_SITE_ACTIVATION,0.3308,-7953.6127,0.6206,0.6206,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_INDUSTRIAL_FACILIITIES,0.775,-1136.0246,0.0501,0,,,,,,,,,,
OPERATIONS & MAINTENANCE,WBS_INITIAL_SPARES_REPAIR_PARTS,0.0736,-624241.8564,83.2706,0.2921,,,,,,,,,,
